x,y
,
bancopel,Bancoppel
Bancomer,Bancomer
bancomer,Bancomer
banamex,Banamex
banco banorte,Banorte
Banorte ,Banorte
Azteca,Banco Azteca
Bancomer ,Bancomer
Scotiabank,Scotiabank
Banamex,Banamex
santander,Santander
no sabe ,No sabe
banorte,Banorte
azteca,Banco Azteca
banamex ,Banamex
afirme,Afirme
Banamex ,Banamex
Banorte,Banorte
Coppel ,Bancoppel
banco Azteca,Banco Azteca
agencia,Otros
HCBS,HSBC
bancomer ,Bancomer
Santander,Santander
Banco azteca,Banco Azteca
Santander ,Santander
banco azteca,Banco Azteca
banorte ,Banorte
Afirme,Afirme
bbva,Bancomer
Scotiabank ,Scotiabank
famsa,Famsa
Azteca ,Banco Azteca
HSBC ,HSBC
Scotianbank,Scotiabank
no sabe,No sabe
financiado,Otros
HSBC,HSBC
Hsbc,HSBC
Coppel,Bancoppel
hsbc,HSBC
Banco Azteca,Banco Azteca
hsbc ,HSBC
concesionaria,Otros
BANORTE,Banorte
