x,y
,
BBVA ,Bancomer
banamex,Banamex
banorte,Banorte
Banorte ,Banorte
bancomer,Bancomer
Banamex,Banamex
Santander,Santander
Banco Azteca,Banco Azteca
afirme,Afirme
Santander ,Santander
Bancomer,Bancomer
HCBS,HSBC
Azteca,Banco Azteca
santander,Santander
Banco azteca o donde tengo mi nómina que es banorte ,Banco Azteca
Banamex ,Banamex
Scotiabank ,Scotiabank
banco Azteca,Banco Azteca
el que me ofresca un buen cedito,Otro
Banorte,Banorte
Banamex o alguno que me o fresca menos intereses,Banamex
Scotianbank ,Scotiabank
no sabe,No sabe
el que me dé crédito,No sabe
banorte ,Banorte
Bancomer ,Bancomer
HSBC,HSBC
banco mer,Bancomer
Banco Azteca ,Banco Azteca
HSBC ,HSBC
