,atributos,promedioGlobal,promedioIndividual,logit,Nombre
1,v7,1,1,1,para_seguir_ahorrando_tiempo_e
2,v9,2,2,2,quiero_una_de_mayor_calidad
3,v10,3,4,3,quiero_una_m_s_moderna_atracti
4,v1,4.5,3,4,la_que_tengo_se_descompone
5,v8,7,7,5,quiero_una_de_mayor_cilindraje
6,v3,4.5,5,6,para_no_gastar_tanto_en_refacc
7,v12,6,6,7,quiero_una_de_mejor_modelo_dis
8,v6,8,8,8,la_que_tengo_est__vieja
9,v2,9.5,10,9,para_circular_todos_los_d_as
10,v11,9.5,9,10,para_poder_salir_a_carretera
11,v5,11,11,11,para_poder_salir_a_rodadas_con
12,v4,12,12,12,para_demostrar__xito__prestigi
