"","valores","atributos3"
"","0","quiero_uno_de_mayor_calidad"
"v2","-0.745662695016668","para_no_gastar_tanto_en_gasoli"
"v3","-0.015150936932916","para_circular_todos_los_d_as"
"v4","-1.6365390667165","quiero_uno_moderno_atractivo"
"v5","-1.16129805844933","para_demostrar__xito_prestigio"
"v6","-0.333778783459277","el_que_tengo_se_descompone"
"v7","0.59068409529649","quiero_uno_m_s_caro"
"v8","-0.01102609392053","quiero_uno_de_mejor_modelo_dis"
"v9","0.0256856595781322","necesito_uno_m_s_amplio"
"v10","0.326828383924829","el_que_tengo_est__viejo"
"v11","-0.786875603115516","para_no_gastar_tanto_en_refacc"
"v12","-0.117616219965177","para_poder_salir_a_carretera"
