"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51","NA52","NA53","NA54","NA55","NA56","NA57","NA58","NA59","NA60","NA61"
"1","Genero","Total_Total_f","Total_Total_pct","P10_Automóvil_f","P10_Automóvil_pct","P10_Moto / Motocicleta_f","P10_Moto / Motocicleta_pct","P10_Ambas_f","P10_Ambas_pct","P10_Otro (Camión de carga)_f","P10_Otro (Camión de carga)_pct","P10_No cuenta con ninguno_f","P10_No cuenta con ninguno_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHijos_Casado con hijos_f","EdocivilHijos_Casado con hijos_pct","EdocivilHijos_Casado sin hijos_f","EdocivilHijos_Casado sin hijos_pct","EdocivilHijos_Soltero con Hijos_f","EdocivilHijos_Soltero con Hijos_pct","EdocivilHijos_Soltero sin HIjos_f","EdocivilHijos_Soltero sin HIjos_pct","EdocivilHijos_No contestó_f","EdocivilHijos_No contestó_pct"
"2","Femenino","424","40.3","354","43.3","33","25.6","37","34.9","0","NaN","0","NaN","424","100","0","0","0","NaN","156","45.1","117","36.9","84","35.9","51","44.3","16","40","0","NaN","88","50","148","40.5","103","38","85","35.4","51","23","79","49.7","44","28.4","68","41.7","82","48","100","54.9","151","33","30","35.7","101","61.2","137","41.1","5","41.7"
"3","Masculino","628","59.7","463","56.7","96","74.4","69","65.1","0","NaN","0","NaN","0","0","628","100","0","NaN","190","54.9","200","63.1","150","64.1","64","55.7","24","60","0","NaN","88","50","217","59.5","168","62","155","64.6","171","77","80","50.3","111","71.6","95","58.3","89","52","82","45.1","307","67","54","64.3","64","38.8","196","58.9","7","58.3"
"4","Total","1052","100","817","100","129","100","106","100","0","NaN","0","NaN","424","100","628","100","0","NaN","346","100","317","100","234","100","115","100","40","100","0","NaN","176","100","365","100","271","100","240","100","222","100","159","100","155","100","163","100","171","100","182","100","458","100","84","100","165","100","333","100","12","100"
"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6","NSE","Total_Total_f","Total_Total_pct","P10_Automóvil_f","P10_Automóvil_pct","P10_Moto / Motocicleta_f","P10_Moto / Motocicleta_pct","P10_Ambas_f","P10_Ambas_pct","P10_Otro (Camión de carga)_f","P10_Otro (Camión de carga)_pct","P10_No cuenta con ninguno_f","P10_No cuenta con ninguno_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHijos_Casado con hijos_f","EdocivilHijos_Casado con hijos_pct","EdocivilHijos_Casado sin hijos_f","EdocivilHijos_Casado sin hijos_pct","EdocivilHijos_Soltero con Hijos_f","EdocivilHijos_Soltero con Hijos_pct","EdocivilHijos_Soltero sin HIjos_f","EdocivilHijos_Soltero sin HIjos_pct","EdocivilHijos_No contestó_f","EdocivilHijos_No contestó_pct"
"7","A/B","0","0","0","0","0","0","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","C+","346","32.9","302","37","11","8.5","33","31.1","0","NaN","0","NaN","156","36.8","190","30.3","0","NaN","346","100","0","0","0","0","0","0","0","0","0","NaN","40","22.7","116","31.8","104","38.4","86","35.8","47","21.2","45","28.3","81","52.3","31","19","74","43.3","68","37.4","154","33.6","30","35.7","46","27.9","110","33","6","50"
"9","C","317","30.1","262","32.1","29","22.5","26","24.5","0","NaN","0","NaN","117","27.6","200","31.8","0","NaN","0","0","317","100","0","0","0","0","0","0","0","NaN","48","27.3","116","31.8","85","31.4","68","28.3","77","34.7","40","25.2","56","36.1","57","35","49","28.7","38","20.9","127","27.7","29","34.5","51","30.9","106","31.8","4","33.3"
"10","C-","234","22.2","169","20.7","40","31","25","23.6","0","NaN","0","NaN","84","19.8","150","23.9","0","NaN","0","0","0","0","234","100","0","0","0","0","0","NaN","50","28.4","86","23.6","48","17.7","50","20.8","55","24.8","39","24.5","17","11","46","28.2","27","15.8","50","27.5","100","21.8","14","16.7","43","26.1","76","22.8","1","8.3"
"11","D+","115","10.9","68","8.3","30","23.3","17","16","0","NaN","0","NaN","51","12","64","10.2","0","NaN","0","0","0","0","0","0","115","100","0","0","0","NaN","26","14.8","36","9.9","24","8.9","29","12.1","39","17.6","22","13.8","1","0.6","26","16","15","8.8","12","6.6","54","11.8","8","9.5","22","13.3","30","9","1","8.3"
"12","D","40","3.8","16","2","19","14.7","5","4.7","0","NaN","0","NaN","16","3.8","24","3.8","0","NaN","0","0","0","0","0","0","0","0","40","100","0","NaN","12","6.8","11","3","10","3.7","7","2.9","4","1.8","13","8.2","0","0","3","1.8","6","3.5","14","7.7","23","5","3","3.6","3","1.8","11","3.3","0","0"
"13","E","0","0","0","0","0","0","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Total","1052","100","817","100","129","100","106","100","0","NaN","0","NaN","424","100","628","100","0","NaN","346","100","317","100","234","100","115","100","40","100","0","NaN","176","100","365","100","271","100","240","100","222","100","159","100","155","100","163","100","171","100","182","100","458","100","84","100","165","100","333","100","12","100"
"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
